广州市星翼电子科技有限公司（正点原子）,,,,,,,
STM32F407最小系统板IO资源分配表,,,,,,使用提示,是否引出
引脚编号,GPIO,连接资源,,完全独立,连接关系说明,,
34,PA0,WKUP,,Y,KEY_UP按键的WK_UP信号,当不使用KEY_UP按键时，该IO完全独立,N
35,PA1,,,Y,,,Y
36,PA2,,,Y,,,Y
37,PA3,,,Y,,,Y
40,PA4,DCMI_HSYNC,,Y,OLED/CAMERA接口的DCMI_HREF信号,当不使用OLED/CAMEAR接口时，该IO完全独立,Y
41,PA5,,,Y,,,Y
42,PA6,DCMI_PIXCLK,,Y,OLED/CAMERA接口的DCMI_PCLK信号,当不使用OLED/CAMEAR接口时，该IO完全独立,Y
43,PA7,,,Y,,,Y
100,PA8,,,Y,OLED/CAMERA接口的DCMI_XCLK信号,当不使用OLED/CAMEAR接口时，该IO完全独立,Y
101,PA9,USART1_TX,,Y,CH340C芯片的RXD信号（跳线帽连接）,当断开跳线帽连接后，该IO完全独立,Y
102,PA10,USART1_RX,,Y,CH340C芯片的TXD信号（跳线帽连接）,当断开跳线帽连接后，该IO完全独立,Y
103,PA11,OTG_FS_DM,,Y,USB_OTG接口的USB_D-信号,当不使用USB_OTG接口时，该IO完全独立,Y
104,PA12,OTG_FS_DP,,Y,USB_OTG接口的USB_D+信号,当不使用USB_OTG接口时，该IO完全独立,Y
105,PA13,JTMS-SWDIO,,Y,SWD接口的SWDIO信号,当不使用SWD接口时，该IO完全独立,Y
109,PA14,JTCK-SWCLK,,Y,SWD接口的SWCLK信号,当不使用SWD接口时，该IO完全独立,Y
110,PA15,,,Y,,,Y
46,PB0,,,Y,TFTLCD接口的T_SCK信号,当不使用TFTLCD接口时，该IO完全独立,Y
47,PB1,,,Y,TFTLCD接口的T_PEN信号,当不使用TFTLCD接口时，该IO完全独立,Y
48,PB2,,,Y,TFTLCD接口的T_MISO信号,当不使用TFTLCD接口时，该IO完全独立,Y
133,PB3,SPI1_SCK,,N,SPI Flash芯片的SPI1_SCK信号,当不使用SPI Flash时，该IO可作普通IO使用,Y
134,PB4,SPI1_MISO,,N,SPI Flash芯片的SPI1_MISO信号,当不使用SPI Flash时，该IO可作普通IO使用,Y
135,PB5,SPI1_MOSI,,N,SPI Flash芯片的SPI1_MOSI信号,当不使用SPI Flash时，该IO可作普通IO使用,Y
136,PB6,DCMI_D5,,Y,OLED/CAMERA接口的DCMI_D5信号,当不使用OLED/CAMEAR接口时，该IO完全独立,Y
137,PB7,DCMI_VSYNC,,Y,OLED/CAMERA接口的DCMI_VSYNC信号,当不使用OLED/CAMEAR接口时，该IO完全独立,Y
139,PB8,I2C1_SCL,,N,EEPROM芯片的IIC_SCL信号,有4.7K上拉电阻，当不使用EEPROM时，该IO可作普通IO使用,N
140,PB9,I2C1_SDA,,N,EEPROM芯片的IIC_SDA信号,有4.7K上拉电阻，当不使用EEPROM时，该IO可作普通IO使用,N
69,PB10,,,Y,,,Y
70,PB11,,,Y,,,Y
73,PB12,,,Y,,,Y
74,PB13,,,Y,,,Y
75,PB14,,,N,SPI Flash芯片的F_CS信号,当不使用SPI Flash时，该IO可作普通IO使用,N
76,PB15,,,Y,TFTLCD接口的LCD_BL信号,当不使用TFTLCD接口时，该IO完全独立,Y
26,PC0,,,Y,,,Y
27,PC1,,,Y,,,Y
28,PC2,,,Y,,,Y
29,PC3,,,Y,,,Y
44,PC4,,,Y,,,Y
45,PC5,,,Y,,,Y
96,PC6,DCMI_D0,,Y,OLED/CAMERA接口的DCMI_D0信号,当不使用OLED/CAMEAR接口时，该IO完全独立,Y
97,PC7,DCMI_D1,,Y,OLED/CAMERA接口的DCMI_D1信号,当不使用OLED/CAMEAR接口时，该IO完全独立,Y
98,PC8,DCMI_D2,SDIO_D0,N,"OLED/CAMERA接口的DCMI_D2信号
TF卡接口的SDIO_D0信号",有47K上拉电阻，当不使用OLED/CAMEAR接口和TF卡接口时，该IO可作普通IO使用,Y
99,PC9,DCMI_D3,SDIO_D1,N,"OLED/CAMERA接口的DCMI_D3信号
TF卡接口的SDIO_D1信号",有47K上拉电阻，当不使用OLED/CAMEAR接口和TF卡接口时，该IO可作普通IO使用,Y
111,PC10,SDIO_D2,,N,TF卡接口的SDIO_D2信号,有47K上拉电阻，当不使用TF卡接口时，该IO可作普通IO使用,Y
112,PC11,DCMI_D4,SDIO_D3,N,"OLED/CAMERA接口的DCMI_D4信号
TF卡接口的SDIO_D3信号",有47K上拉电阻，当不使用OLED/CAMEAR接口和TF卡接口时，该IO可作普通IO使用,Y
113,PC12,SDIO_CK,,Y,TF卡接口的SDIO_SCK信号,当不使用TF卡接口时，该IO完全独立,Y
7,PC13,,,Y,TFTLCD接口的T_CS信号,当不使用TFTLCD接口时，该IO完全独立,N
8,PC14,OSC32_IN,,N,32.768KHz晶振,不可作普通IO使用,N
9,PC15,OSC32_OUT,,N,32.768KHz晶振,不可作普通IO使用,N
114,PD0,FSMC_D2,,N,"SRAM芯片的FSMC_D2信号
TFTLCD接口的FSMC_D2信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
115,PD1,FSMC_D3,,N,"SRAM芯片的FSMC_D3信号
TFTLCD接口的FSMC_D3信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
116,PD2,SDIO_CMD,,N,TF卡接口的SDIO_CMD信号,有47K上拉电阻，当不使用TF卡接口时，该IO可作普通IO使用,Y
117,PD3,,,Y,,,Y
118,PD4,FSMC_NOE,,N,"SRAM芯片的FSMC_NOE信号
TFTLCD接口的FSMC_NOE信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
119,PD5,FSMC_NWE,,N,"SRAM芯片的FSMC_NWE信号
TFTLCD接口的FSMC_NWE信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
122,PD6,,,Y,OLED/CAMERA接口的DCMI_SCL信号,当不使用OLED/CAMEAR接口时，该IO完全独立,Y
123,PD7,,,Y,OLED/CAMERA接口的DCMI_SDA信号,当不使用OLED/CAMEAR接口时，该IO完全独立,Y
77,PD8,FSMC_D13,,N,"SRAM芯片的FSMC_D13信号
TFTLCD接口的FSMC_D13信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
78,PD9,FSMC_D14,,N,"SRAM芯片的FSMC_D14信号
TFTLCD接口的FSMC_D14信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
79,PD10,FSMC_D15,,N,"SRAM芯片的FSMC_D15信号
TFTLCD接口的FSMC_D15信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
80,PD11,FSMC_A16,,N,SRAM芯片的FSMC_A16信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,Y
81,PD12,FSMC_A17,,N,SRAM芯片的FSMC_A17信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,Y
82,PD13,FSMC_A18,,N,SRAM芯片的FSMC_A18信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,Y
85,PD14,FSMC_D0,,N,"SRAM芯片的FSMC_D0信号
TFTLCD接口的FSMC_D0信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
86,PD15,FSMC_D1,,N,"SRAM芯片的FSMC_D1信号
TFTLCD接口的FSMC_D1信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
141,PE0,FSMC_NBL0,,N,SRAM芯片的FSMC_NBL0信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,Y
142,PE1,FSMC_NBL1,,N,SRAM芯片的FSMC_NBL1信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,Y
1,PE2,,,Y,,,Y
2,PE3,,,Y,,,Y
3,PE4,,,Y,"KEY0按键的KEY0信号
BOOT0引脚",当不使用KEY0按键时，该IO完全独立,N
4,PE5,DCMI_D6,,Y,OLED/CAMERA接口的DCMI_D6信号,当不使用OLED/CAMEAR接口时，该IO完全独立,Y
5,PE6,DCMI_D7,,Y,OLED/CAMERA接口的DCMI_D7信号,当不使用OLED/CAMEAR接口时，该IO完全独立,Y
58,PE7,FSMC_D4,,N,"SRAM芯片的FSMC_D4信号
TFTLCD接口的FSMC_D4信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
59,PE8,FSMC_D5,,N,"SRAM芯片的FSMC_D5信号
TFTLCD接口的FSMC_D5信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
60,PE9,FSMC_D6,,N,"SRAM芯片的FSMC_D6信号
TFTLCD接口的FSMC_D6信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
63,PE10,FSMC_D7,,N,"SRAM芯片的FSMC_D7信号
TFTLCD接口的FSMC_D7信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
64,PE11,FSMC_D8,,N,"SRAM芯片的FSMC_D8信号
TFTLCD接口的FSMC_D8信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
65,PE12,FSMC_D9,,N,"SRAM芯片的FSMC_D9信号
TFTLCD接口的FSMC_D9信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
66,PE13,FSMC_D10,,N,"SRAM芯片的FSMC_D10信号
TFTLCD接口的FSMC_D10信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
67,PE14,FSMC_D11,,N,"SRAM芯片的FSMC_D11信号
TFTLCD接口的FSMC_D11信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
68,PE15,FSMC_D12,,N,"SRAM芯片的FSMC_D12信号
TFTLCD接口的FSMC_D12信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
10,PF0,FSMC_A0,,N,SRAM芯片的FSMC_A0信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,Y
11,PF1,FSMC_A1,,N,SRAM芯片的FSMC_A1信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,Y
12,PF2,FSMC_A2,,N,SRAM芯片的FSMC_A2信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,Y
13,PF3,FSMC_A3,,N,SRAM芯片的FSMC_A3信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,Y
14,PF4,FSMC_A4,,N,SRAM芯片的FSMC_A4信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,Y
15,PF5,FSMC_A5,,N,SRAM芯片的FSMC_A5信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,Y
18,PF6,,,Y,,,Y
19,PF7,,,Y,,,Y
20,PF8,,,Y,,,Y
21,PF9,,,N,LED0的LED0信号,可作普通IO使用，但不建议,N
22,PF10,,,N,LED1的LED1信号,可作普通IO使用，但不建议,N
49,PF11,,,Y,TFTLCD接口的T_MOSI信号,当不使用TFTLCD接口时，该IO完全独立,Y
50,PF12,FSMC_A6,,N,"SRAM芯片的FSMC_A6信号
TFTLCD接口的FSMC_A6信号",当禁止SRAM芯片和TFTLCD接口的片选信号时，可作普通IO使用,Y
53,PF13,FSMC_A7,,N,SRAM芯片的FSMC_A7信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,Y
54,PF14,FSMC_A8,,N,SRAM芯片的FSMC_A8信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,N
55,PF15,FSMC_A9,,N,SRAM芯片的FSMC_A9信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,N
56,PG0,FSMC_A10,,N,SRAM芯片的FSMC_A10信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,N
57,PG1,FSMC_A11,,N,SRAM芯片的FSMC_A11信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,N
87,PG2,FSMC_A12,,N,SRAM芯片的FSMC_A12信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,N
88,PG3,FSMC_A13,,N,SRAM芯片的FSMC_A13信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,N
89,PG4,FSMC_A14,,N,SRAM芯片的FSMC_A14信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,N
90,PG5,FSMC_A15,,N,SRAM芯片的FSMC_A15信号,当禁止SRAM芯片的片选信号时，可作普通IO使用,N
91,PG6,,,Y,,,Y
92,PG7,,,Y,,,Y
93,PG8,,,Y,,,Y
124,PG9,,,Y,OLED/CAMERA接口的DCMI_PWDN信号,当不使用OLED/CAMEAR接口时，该IO完全独立,Y
125,PG10,FSMC_NE3,,N,SRAM芯片的FSMC_NE3信号,有10K上拉电阻，用于SRAM芯片的片选，不使用SRAM芯片时，可作普通IO使用，但不建议,Y
126,PG11,,,Y,,,Y
127,PG12,FSMC_NE4,,Y,TFTLCD接口的FSMC_NE4信号,当不使用TFTLCD接口时，该IO完全独立,Y
128,PG13,,,Y,,,Y
129,PG14,,,Y,,,Y
132,PG15,,,Y,OLED/CAMERA接口的DCMI_RESET信号,当不使用OLED/CAMEAR接口时，该IO完全独立,Y
23,PH0,OSC_IN,,N,8MHz晶振,不可作普通IO使用,N
24,PH1,OSC_OUT,,N,8MHz晶振,不可作普通IO使用,N
引脚编号：,,,对应STM32F407ZGT6的引脚编号,,,,
GPIO：,,,STM32F407ZGT6的IO口,,,,
完全独立：,,,指该IO通过一定的方法，可以达到完全悬空的效果（即不接任何其他外设，且不接任何上拉/下拉电阻）,,,,
连接关系说明：,,,说明每个IO口与外设的连接关系,,,,
使用提示：,,,介绍每个IO的特点和使用方法，方便大家掌握开发板每一个IO口的使用,,,,
是否引出：,,,是否通过排针方式引出,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
