汽服2302B班 - 第七次实验 最终评分表

排名,学号,提交时间,评分,状态,备注
1,23071140226,2026-06-04 16:30:28,待定,【原创】,未检测到抄袭，需人工复核
2,23071140231,2026-06-04 16:34:35,待定,【原创】,未检测到抄袭，需人工复核
3,23071140230,2026-06-06 02:28:52,待定,【原创】,未检测到抄袭，需人工复核
4,23071140217,2026-06-06 11:04:24,0分,抄袭,心得总结相同或高度相似
5,23071140221,2026-06-06 12:15:50,待定,【原创】,未检测到抄袭，需人工复核
6,23071140210,2026-06-06 12:20:02,待定,【原创】,未检测到抄袭，需人工复核
7,23071140233,2026-06-06 17:00:24,0分,抄袭,心得总结相同或高度相似
8,23071140235,2026-06-06 21:41:16,待定,【原创】,未检测到抄袭，需人工复核
9,23071140234,2026-06-06 21:57:37,待定,【原创】,未检测到抄袭，需人工复核
10,23071140240,2026-06-06 22:42:25,待定,【原创】,未检测到抄袭，需人工复核
11,23071140241,2026-06-06 22:48:54,待定,【原创】,未检测到抄袭，需人工复核
12,23071140238,2026-06-06 22:56:51,待定,【原创】,未检测到抄袭，需人工复核
13,23071140239,2026-06-06 23:04:58,待定,【原创】,未检测到抄袭，需人工复核
14,23071140227,2026-06-06 23:09:14,待定,【原创】,未检测到抄袭，需人工复核
15,23071140201,2026-06-07 01:05:53,待定,【原创】,未检测到抄袭，需人工复核
16,23071140229,2026-06-07 08:33:29,待定,【原创】,未检测到抄袭，需人工复核
17,23071140204,2026-06-07 08:50:07,0分,抄袭,心得总结相同或高度相似
18,23071140208,2026-06-07 08:54:01,0分,抄袭,心得总结相同或高度相似
19,23071140237,2026-06-07 12:21:56,待定,【原创】,未检测到抄袭，需人工复核
20,23071140213,2026-06-07 14:09:43,0分,抄袭,心得总结相同或高度相似
21,23071140219,2026-06-07 14:11:53,0分,抄袭,心得总结相同或高度相似
22,23071140202,2026-06-07 14:23:46,待定,【原创】,未检测到抄袭，需人工复核
23,23071140214,2026-06-07 19:20:27,0分,抄袭,心得总结相同或高度相似
24,23071140228,2026-06-07 19:36:11,0分,抄袭,心得总结相同或高度相似
25,23071140222,2026-06-07 19:40:57,待定,【原创】,未检测到抄袭，需人工复核
26,23071140232,2026-06-07 19:58:16,待定,【原创】,未检测到抄袭，需人工复核
27,23071140215,2026-06-07 20:45:13,待定,【原创】,未检测到抄袭，需人工复核
28,23071140206,2026-06-07 20:53:23,待定,【原创】,未检测到抄袭，需人工复核
29,23071140224,2026-06-07 21:03:28,待定,【原创】,未检测到抄袭，需人工复核
30,23071140211,2026-06-07 22:41:34,待定,【原创】,未检测到抄袭，需人工复核
31,23071140220,2026-06-07 22:52:21,0分,抄袭,心得总结相同或高度相似
32,23071140203,2026-06-07 23:27:32,待定,【原创】,未检测到抄袭，需人工复核
33,23071140216,2026-06-08 09:46:04,0分,抄袭,心得总结相同或高度相似
34,23071140223,2026-06-08 09:58:02,0分,抄袭,心得总结相同或高度相似
35,23071140236,2026-06-08 10:15:27,待定,【原创】,未检测到抄袭，需人工复核

统计
总人数,35
记0分人数,11
疑似原创人数,24
